,PassengerId,Survived,Pclass,SibSp,Parch,Fare,Age,Sex_female,Sex_male,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Embarked_C,Embarked_Q,Embarked_S
34,40,1,3,1,0,11.2417,14.0,1,0,0,0,1,0,0,0,0,0,1,0,0
35,41,0,3,1,0,9.475,40.0,1,0,0,0,1,0,0,0,0,0,0,0,1
36,42,0,2,1,0,21.0,27.0,1,0,0,0,1,0,0,0,0,0,0,0,1
37,43,0,3,0,0,7.8958,29.69911764705882,0,1,0,0,1,0,0,0,0,0,1,0,0
38,44,1,2,1,2,41.5792,3.0,1,0,0,0,1,0,0,0,0,0,1,0,0
39,45,1,3,0,0,7.8792,19.0,1,0,0,0,1,0,0,0,0,0,0,1,0
40,46,0,3,0,0,8.05,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
41,47,0,3,1,0,15.5,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,1,0
42,48,1,3,0,0,7.75,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,1,0
43,49,0,3,2,0,21.6792,29.69911764705882,0,1,0,0,1,0,0,0,0,0,1,0,0
44,50,0,3,1,0,17.8,18.0,1,0,0,0,1,0,0,0,0,0,0,0,1
45,51,0,3,4,1,39.6875,7.0,0,1,0,0,1,0,0,0,0,0,0,0,1
46,52,0,3,0,0,7.8,21.0,0,1,0,0,1,0,0,0,0,0,0,0,1
47,53,1,1,1,0,76.7292,49.0,1,0,0,0,0,1,0,0,0,0,1,0,0
48,54,1,2,1,0,26.0,29.0,1,0,0,0,1,0,0,0,0,0,0,0,1
49,56,1,1,0,0,35.5,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
50,57,1,2,0,0,10.5,21.0,1,0,0,0,1,0,0,0,0,0,0,0,1
51,58,0,3,0,0,7.2292,28.5,0,1,0,0,1,0,0,0,0,0,1,0,0
52,59,1,2,1,2,27.75,5.0,1,0,0,0,1,0,0,0,0,0,0,0,1
53,60,0,3,5,2,46.9,11.0,0,1,0,0,1,0,0,0,0,0,0,0,1
54,61,0,3,0,0,7.2292,22.0,0,1,0,0,1,0,0,0,0,0,1,0,0
55,62,1,1,0,0,80.0,38.0,1,0,0,1,0,0,0,0,0,0,0,0,1
56,63,0,1,1,0,83.475,45.0,0,1,0,0,1,0,0,0,0,0,0,0,1
57,64,0,3,3,2,27.9,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1
58,65,0,1,0,0,27.7208,29.69911764705882,0,1,0,0,1,0,0,0,0,0,1,0,0
59,66,1,3,1,1,15.2458,29.69911764705882,0,1,0,0,1,0,0,0,0,0,1,0,0
60,67,1,2,0,0,10.5,29.0,1,0,0,0,0,0,0,1,0,0,0,0,1
61,68,0,3,0,0,8.1583,19.0,0,1,0,0,1,0,0,0,0,0,0,0,1
62,69,1,3,4,2,7.925,17.0,1,0,0,0,1,0,0,0,0,0,0,0,1
63,70,0,3,2,0,8.6625,26.0,0,1,0,0,1,0,0,0,0,0,0,0,1
64,71,0,2,0,0,10.5,32.0,0,1,0,0,1,0,0,0,0,0,0,0,1
65,72,0,3,5,2,46.9,16.0,1,0,0,0,1,0,0,0,0,0,0,0,1
66,73,0,2,0,0,73.5,21.0,0,1,0,0,1,0,0,0,0,0,0,0,1
67,74,0,3,1,0,14.4542,26.0,0,1,0,0,1,0,0,0,0,0,1,0,0
68,75,1,3,0,0,56.4958,32.0,0,1,0,0,1,0,0,0,0,0,0,0,1
69,76,0,3,0,0,7.65,25.0,0,1,0,0,0,0,0,1,0,0,0,0,1
70,77,0,3,0,0,7.8958,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
71,78,0,3,0,0,8.05,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
72,80,1,3,0,0,12.475,30.0,1,0,0,0,1,0,0,0,0,0,0,0,1
73,81,0,3,0,0,9.0,22.0,0,1,0,0,1,0,0,0,0,0,0,0,1
74,82,1,3,0,0,9.5,29.0,0,1,0,0,1,0,0,0,0,0,0,0,1
75,83,1,3,0,0,7.7875,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,1,0
76,84,0,1,0,0,47.1,28.0,0,1,0,0,1,0,0,0,0,0,0,0,1
77,85,1,2,0,0,10.5,17.0,1,0,0,0,1,0,0,0,0,0,0,0,1
78,86,1,3,3,0,15.85,33.0,1,0,0,0,1,0,0,0,0,0,0,0,1
79,87,0,3,1,3,34.375,16.0,0,1,0,0,1,0,0,0,0,0,0,0,1
80,88,0,3,0,0,8.05,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
81,89,1,1,3,2,263.0,23.0,1,0,0,0,1,0,0,0,0,0,0,0,1
82,90,0,3,0,0,8.05,24.0,0,1,0,0,1,0,0,0,0,0,0,0,1
83,91,0,3,0,0,8.05,29.0,0,1,0,0,1,0,0,0,0,0,0,0,1
84,92,0,3,0,0,7.8542,20.0,0,1,0,0,1,0,0,0,0,0,0,0,1
85,93,0,1,1,0,61.175,46.0,0,1,0,0,0,0,1,0,0,0,0,0,1
86,94,0,3,1,2,20.575,26.0,0,1,0,0,1,0,0,0,0,0,0,0,1
87,96,0,3,0,0,8.05,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
88,98,1,1,0,1,63.3583,23.0,0,1,0,0,0,1,0,0,0,0,1,0,0
89,99,1,2,0,1,23.0,34.0,1,0,0,0,1,0,0,0,0,0,0,0,1
90,100,0,2,1,0,26.0,34.0,0,1,0,0,1,0,0,0,0,0,0,0,1
91,101,0,3,0,0,7.8958,28.0,1,0,0,0,1,0,0,0,0,0,0,0,1
92,102,0,3,0,0,7.8958,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
93,103,0,1,0,1,77.2875,21.0,0,1,0,0,0,1,0,0,0,0,0,0,1
94,104,0,3,0,0,8.6542,33.0,0,1,0,0,1,0,0,0,0,0,0,0,1
95,105,0,3,2,0,7.925,37.0,0,1,0,0,1,0,0,0,0,0,0,0,1
96,106,0,3,0,0,7.8958,28.0,0,1,0,0,1,0,0,0,0,0,0,0,1
97,107,1,3,0,0,7.65,21.0,1,0,0,0,1,0,0,0,0,0,0,0,1
98,108,1,3,0,0,7.775,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
99,109,0,3,0,0,7.8958,38.0,0,1,0,0,1,0,0,0,0,0,0,0,1
100,110,1,3,1,0,24.15,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,1,0
101,111,0,1,0,0,52.0,47.0,0,1,0,0,1,0,0,0,0,0,0,0,1
102,112,0,3,1,0,14.4542,14.5,1,0,0,0,1,0,0,0,0,0,1,0,0
103,113,0,3,0,0,8.05,22.0,0,1,0,0,1,0,0,0,0,0,0,0,1
104,114,0,3,1,0,9.825,20.0,1,0,0,0,1,0,0,0,0,0,0,0,1
105,115,0,3,0,0,14.4583,17.0,1,0,0,0,1,0,0,0,0,0,1,0,0
106,116,0,3,0,0,7.925,21.0,0,1,0,0,1,0,0,0,0,0,0,0,1
107,118,0,2,1,0,21.0,29.0,0,1,0,0,1,0,0,0,0,0,0,0,1
108,119,0,1,0,1,247.5208,24.0,0,1,0,1,0,0,0,0,0,0,1,0,0
109,121,0,2,2,0,73.5,21.0,0,1,0,0,1,0,0,0,0,0,0,0,1
110,122,0,3,0,0,8.05,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
111,123,0,2,1,0,30.0708,32.5,0,1,0,0,1,0,0,0,0,0,1,0,0
112,124,1,2,0,0,13.0,32.5,1,0,0,0,0,0,1,0,0,0,0,0,1
113,125,0,1,0,1,77.2875,54.0,0,1,0,0,0,1,0,0,0,0,0,0,1
114,126,1,3,1,0,11.2417,12.0,0,1,0,0,1,0,0,0,0,0,1,0,0
115,127,0,3,0,0,7.75,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,1,0
116,128,1,3,0,0,7.1417,24.0,0,1,0,0,1,0,0,0,0,0,0,0,1
117,129,1,3,1,1,22.3583,29.69911764705882,1,0,0,0,0,0,0,1,0,0,1,0,0
118,130,0,3,0,0,6.975,45.0,0,1,0,0,1,0,0,0,0,0,0,0,1
119,131,0,3,0,0,7.8958,33.0,0,1,0,0,1,0,0,0,0,0,1,0,0
120,132,0,3,0,0,7.05,20.0,0,1,0,0,1,0,0,0,0,0,0,0,1
121,133,0,3,1,0,14.5,47.0,1,0,0,0,1,0,0,0,0,0,0,0,1
122,134,1,2,1,0,26.0,29.0,1,0,0,0,1,0,0,0,0,0,0,0,1
123,135,0,2,0,0,13.0,25.0,0,1,0,0,1,0,0,0,0,0,0,0,1
124,136,0,2,0,0,15.0458,23.0,0,1,0,0,1,0,0,0,0,0,1,0,0
125,137,1,1,0,2,26.2833,19.0,1,0,0,0,0,1,0,0,0,0,0,0,1
126,138,0,1,1,0,53.1,37.0,0,1,0,0,1,0,0,0,0,0,0,0,1
127,139,0,3,0,0,9.2167,16.0,0,1,0,0,1,0,0,0,0,0,0,0,1
128,140,0,1,0,0,79.2,24.0,0,1,0,1,0,0,0,0,0,0,1,0,0
129,141,0,3,0,2,15.2458,29.69911764705882,1,0,0,0,1,0,0,0,0,0,1,0,0
130,142,1,3,0,0,7.75,22.0,1,0,0,0,1,0,0,0,0,0,0,0,1
131,143,1,3,1,0,15.85,24.0,1,0,0,0,1,0,0,0,0,0,0,0,1
132,144,0,3,0,0,6.75,19.0,0,1,0,0,1,0,0,0,0,0,0,1,0
133,145,0,2,0,0,11.5,18.0,0,1,0,0,1,0,0,0,0,0,0,0,1
134,146,0,2,1,1,36.75,19.0,0,1,0,0,1,0,0,0,0,0,0,0,1
135,147,1,3,0,0,7.7958,27.0,0,1,0,0,1,0,0,0,0,0,0,0,1
136,148,0,3,2,2,34.375,9.0,1,0,0,0,1,0,0,0,0,0,0,0,1
137,149,0,2,0,2,26.0,36.5,0,1,0,0,0,0,0,1,0,0,0,0,1
138,150,0,2,0,0,13.0,42.0,0,1,0,0,1,0,0,0,0,0,0,0,1
139,151,0,2,0,0,12.525,51.0,0,1,0,0,1,0,0,0,0,0,0,0,1
140,152,1,1,1,0,66.6,22.0,1,0,0,0,1,0,0,0,0,0,0,0,1
141,154,0,3,0,2,14.5,40.5,0,1,0,0,1,0,0,0,0,0,0,0,1
142,155,0,3,0,0,7.3125,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
143,156,0,1,0,1,61.3792,51.0,0,1,0,0,1,0,0,0,0,0,1,0,0
144,157,1,3,0,0,7.7333,16.0,1,0,0,0,1,0,0,0,0,0,0,1,0
145,158,0,3,0,0,8.05,30.0,0,1,0,0,1,0,0,0,0,0,0,0,1
146,159,0,3,0,0,8.6625,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
147,160,0,3,8,2,69.55,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
148,161,0,3,0,1,16.1,44.0,0,1,0,0,1,0,0,0,0,0,0,0,1
149,162,1,2,0,0,15.75,40.0,1,0,0,0,1,0,0,0,0,0,0,0,1
150,163,0,3,0,0,7.775,26.0,0,1,0,0,1,0,0,0,0,0,0,0,1
151,164,0,3,0,0,8.6625,17.0,0,1,0,0,1,0,0,0,0,0,0,0,1
152,166,1,3,0,2,20.525,9.0,0,1,0,0,1,0,0,0,0,0,0,0,1
153,167,1,1,0,1,55.0,29.69911764705882,1,0,0,0,0,0,1,0,0,0,0,0,1
154,168,0,3,1,4,27.9,45.0,1,0,0,0,1,0,0,0,0,0,0,0,1
155,169,0,1,0,0,25.925,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
156,170,0,3,0,0,56.4958,28.0,0,1,0,0,1,0,0,0,0,0,0,0,1
157,172,0,3,4,1,29.125,4.0,0,1,0,0,1,0,0,0,0,0,0,1,0
158,174,0,3,0,0,7.925,21.0,0,1,0,0,1,0,0,0,0,0,0,0,1
159,176,0,3,1,1,7.8542,18.0,0,1,0,0,1,0,0,0,0,0,0,0,1
160,177,0,3,3,1,25.4667,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
161,178,0,1,0,0,28.7125,50.0,1,0,0,0,1,0,0,0,0,0,1,0,0
162,179,0,2,0,0,13.0,30.0,0,1,0,0,1,0,0,0,0,0,0,0,1
163,180,0,3,0,0,0.0,36.0,0,1,0,0,1,0,0,0,0,0,0,0,1
164,181,0,3,8,2,69.55,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,0,1
165,182,0,2,0,0,15.05,29.69911764705882,0,1,0,0,1,0,0,0,0,0,1,0,0
166,183,0,3,4,2,31.3875,9.0,0,1,0,0,1,0,0,0,0,0,0,0,1
167,185,1,3,0,2,22.025,4.0,1,0,0,0,1,0,0,0,0,0,0,0,1
168,186,0,1,0,0,50.0,29.69911764705882,0,1,1,0,0,0,0,0,0,0,0,0,1
169,187,1,3,1,0,15.5,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,1,0
170,188,1,1,0,0,26.55,45.0,0,1,0,0,1,0,0,0,0,0,0,0,1
171,189,0,3,1,1,15.5,40.0,0,1,0,0,1,0,0,0,0,0,0,1,0
172,190,0,3,0,0,7.8958,36.0,0,1,0,0,1,0,0,0,0,0,0,0,1
173,191,1,2,0,0,13.0,32.0,1,0,0,0,1,0,0,0,0,0,0,0,1
174,192,0,2,0,0,13.0,19.0,0,1,0,0,1,0,0,0,0,0,0,0,1
175,193,1,3,1,0,7.8542,19.0,1,0,0,0,1,0,0,0,0,0,0,0,1
176,194,1,2,1,1,26.0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,1
177,195,1,1,0,0,27.7208,44.0,1,0,0,1,0,0,0,0,0,0,1,0,0
178,197,0,3,0,0,7.75,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,1,0
179,198,0,3,0,1,8.4042,42.0,0,1,0,0,1,0,0,0,0,0,0,0,1
180,199,1,3,0,0,7.75,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,1,0
181,200,0,2,0,0,13.0,24.0,1,0,0,0,1,0,0,0,0,0,0,0,1
182,201,0,3,0,0,9.5,28.0,0,1,0,0,1,0,0,0,0,0,0,0,1
183,202,0,3,8,2,69.55,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
184,203,0,3,0,0,6.4958,34.0,0,1,0,0,1,0,0,0,0,0,0,0,1
185,204,0,3,0,0,7.225,45.5,0,1,0,0,1,0,0,0,0,0,1,0,0
186,205,1,3,0,0,8.05,18.0,0,1,0,0,1,0,0,0,0,0,0,0,1
187,207,0,3,1,0,15.85,32.0,0,1,0,0,1,0,0,0,0,0,0,0,1
188,208,1,3,0,0,18.7875,26.0,0,1,0,0,1,0,0,0,0,0,1,0,0
189,209,1,3,0,0,7.75,16.0,1,0,0,0,1,0,0,0,0,0,0,1,0
190,210,1,1,0,0,31.0,40.0,0,1,1,0,0,0,0,0,0,0,1,0,0
191,211,0,3,0,0,7.05,24.0,0,1,0,0,1,0,0,0,0,0,0,0,1
192,212,1,2,0,0,21.0,35.0,1,0,0,0,1,0,0,0,0,0,0,0,1
193,213,0,3,0,0,7.25,22.0,0,1,0,0,1,0,0,0,0,0,0,0,1
194,214,0,2,0,0,13.0,30.0,0,1,0,0,1,0,0,0,0,0,0,0,1
195,215,0,3,1,0,7.75,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,1,0
196,216,1,1,1,0,113.275,31.0,1,0,0,0,0,1,0,0,0,0,1,0,0
197,217,1,3,0,0,7.925,27.0,1,0,0,0,1,0,0,0,0,0,0,0,1
198,218,0,2,1,0,27.0,42.0,0,1,0,0,1,0,0,0,0,0,0,0,1
199,219,1,1,0,0,76.2917,32.0,1,0,0,0,0,1,0,0,0,0,1,0,0
200,220,0,2,0,0,10.5,30.0,0,1,0,0,1,0,0,0,0,0,0,0,1
201,221,1,3,0,0,8.05,16.0,0,1,0,0,1,0,0,0,0,0,0,0,1
202,222,0,2,0,0,13.0,27.0,0,1,0,0,1,0,0,0,0,0,0,0,1
203,223,0,3,0,0,8.05,51.0,0,1,0,0,1,0,0,0,0,0,0,0,1
204,224,0,3,0,0,7.8958,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
205,225,1,1,1,0,90.0,38.0,0,1,0,0,1,0,0,0,0,0,0,0,1
206,226,0,3,0,0,9.35,22.0,0,1,0,0,1,0,0,0,0,0,0,0,1
207,227,1,2,0,0,10.5,19.0,0,1,0,0,1,0,0,0,0,0,0,0,1
208,228,0,3,0,0,7.25,20.5,0,1,0,0,1,0,0,0,0,0,0,0,1
209,229,0,2,0,0,13.0,18.0,0,1,0,0,1,0,0,0,0,0,0,0,1
210,230,0,3,3,1,25.4667,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,0,1
211,231,1,1,1,0,83.475,35.0,1,0,0,0,1,0,0,0,0,0,0,0,1
212,232,0,3,0,0,7.775,29.0,0,1,0,0,1,0,0,0,0,0,0,0,1
213,234,1,3,4,2,31.3875,5.0,1,0,0,0,1,0,0,0,0,0,0,0,1
214,235,0,2,0,0,10.5,24.0,0,1,0,0,1,0,0,0,0,0,0,0,1
215,236,0,3,0,0,7.55,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,0,1
216,237,0,2,1,0,26.0,44.0,0,1,0,0,1,0,0,0,0,0,0,0,1
217,238,1,2,0,2,26.25,8.0,1,0,0,0,1,0,0,0,0,0,0,0,1
218,239,0,2,0,0,10.5,19.0,0,1,0,0,1,0,0,0,0,0,0,0,1
219,240,0,2,0,0,12.275,33.0,0,1,0,0,1,0,0,0,0,0,0,0,1
220,241,0,3,1,0,14.4542,29.69911764705882,1,0,0,0,1,0,0,0,0,0,1,0,0
221,242,1,3,1,0,15.5,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,1,0
222,243,0,2,0,0,10.5,29.0,0,1,0,0,1,0,0,0,0,0,0,0,1
223,244,0,3,0,0,7.125,22.0,0,1,0,0,1,0,0,0,0,0,0,0,1
224,245,0,3,0,0,7.225,30.0,0,1,0,0,1,0,0,0,0,0,1,0,0
225,246,0,1,2,0,90.0,44.0,0,1,0,0,1,0,0,0,0,0,0,1,0
226,247,0,3,0,0,7.775,25.0,1,0,0,0,1,0,0,0,0,0,0,0,1
227,248,1,2,0,2,14.5,24.0,1,0,0,0,1,0,0,0,0,0,0,0,1
228,249,1,1,1,1,52.5542,37.0,0,1,0,0,0,1,0,0,0,0,0,0,1
229,250,0,2,1,0,26.0,54.0,0,1,0,0,1,0,0,0,0,0,0,0,1
230,251,0,3,0,0,7.25,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
231,252,0,3,1,1,10.4625,29.0,1,0,0,0,0,0,0,0,1,0,0,0,1
232,254,0,3,1,0,16.1,30.0,0,1,0,0,1,0,0,0,0,0,0,0,1
233,255,0,3,0,2,20.2125,41.0,1,0,0,0,1,0,0,0,0,0,0,0,1
234,256,1,3,0,2,15.2458,29.0,1,0,0,0,1,0,0,0,0,0,1,0,0
235,257,1,1,0,0,79.2,29.69911764705882,1,0,0,0,1,0,0,0,0,0,1,0,0
236,258,1,1,0,0,86.5,30.0,1,0,0,1,0,0,0,0,0,0,0,0,1
237,259,1,1,0,0,512.3292,35.0,1,0,0,0,1,0,0,0,0,0,1,0,0
238,260,1,2,0,1,26.0,50.0,1,0,0,0,1,0,0,0,0,0,0,0,1
239,261,0,3,0,0,7.75,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,1,0
240,262,1,3,4,2,31.3875,3.0,0,1,0,0,1,0,0,0,0,0,0,0,1
241,263,0,1,1,1,79.65,52.0,0,1,0,0,0,0,1,0,0,0,0,0,1
242,264,0,1,0,0,0.0,40.0,0,1,0,1,0,0,0,0,0,0,0,0,1
243,265,0,3,0,0,7.75,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,1,0
244,266,0,2,0,0,10.5,36.0,0,1,0,0,1,0,0,0,0,0,0,0,1
245,267,0,3,4,1,39.6875,16.0,0,1,0,0,1,0,0,0,0,0,0,0,1
246,268,1,3,1,0,7.775,25.0,0,1,0,0,1,0,0,0,0,0,0,0,1
247,270,1,1,0,0,135.6333,35.0,1,0,0,0,1,0,0,0,0,0,0,0,1
248,271,0,1,0,0,31.0,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
249,272,1,3,0,0,0.0,25.0,0,1,0,0,1,0,0,0,0,0,0,0,1
250,273,1,2,0,1,19.5,41.0,1,0,0,0,1,0,0,0,0,0,0,0,1
251,274,0,1,0,1,29.7,37.0,0,1,0,0,1,0,0,0,0,0,1,0,0
252,275,1,3,0,0,7.75,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,1,0
253,277,0,3,0,0,7.75,45.0,1,0,0,0,1,0,0,0,0,0,0,0,1
254,278,0,2,0,0,0.0,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
255,279,0,3,4,1,29.125,7.0,0,1,0,0,1,0,0,0,0,0,0,1,0
256,280,1,3,1,1,20.25,35.0,1,0,0,0,1,0,0,0,0,0,0,0,1
257,282,0,3,0,0,7.8542,28.0,0,1,0,0,1,0,0,0,0,0,0,0,1
258,283,0,3,0,0,9.5,16.0,0,1,0,0,1,0,0,0,0,0,0,0,1
259,284,1,3,0,0,8.05,19.0,0,1,0,0,1,0,0,0,0,0,0,0,1
260,285,0,1,0,0,26.0,29.69911764705882,0,1,1,0,0,0,0,0,0,0,0,0,1
261,286,0,3,0,0,8.6625,33.0,0,1,0,0,1,0,0,0,0,0,1,0,0
262,287,1,3,0,0,9.5,30.0,0,1,0,0,1,0,0,0,0,0,0,0,1
263,288,0,3,0,0,7.8958,22.0,0,1,0,0,1,0,0,0,0,0,0,0,1
264,289,1,2,0,0,13.0,42.0,0,1,0,0,1,0,0,0,0,0,0,0,1
265,290,1,3,0,0,7.75,22.0,1,0,0,0,1,0,0,0,0,0,0,1,0
266,291,1,1,0,0,78.85,26.0,1,0,0,0,1,0,0,0,0,0,0,0,1
267,292,1,1,1,0,91.0792,19.0,1,0,0,1,0,0,0,0,0,0,1,0,0
268,293,0,2,0,0,12.875,36.0,0,1,0,0,0,1,0,0,0,0,1,0,0
269,294,0,3,0,0,8.85,24.0,1,0,0,0,1,0,0,0,0,0,0,0,1
270,295,0,3,0,0,7.8958,24.0,0,1,0,0,1,0,0,0,0,0,0,0,1
271,296,0,1,0,0,27.7208,29.69911764705882,0,1,0,0,1,0,0,0,0,0,1,0,0
272,297,0,3,0,0,7.2292,23.5,0,1,0,0,1,0,0,0,0,0,1,0,0
273,299,1,1,0,0,30.5,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
274,300,1,1,0,1,247.5208,50.0,1,0,0,1,0,0,0,0,0,0,1,0,0
275,301,1,3,0,0,7.75,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,1,0
276,302,1,3,2,0,23.25,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,1,0
277,303,0,3,0,0,0.0,19.0,0,1,0,0,1,0,0,0,0,0,0,0,1
278,304,1,2,0,0,12.35,29.69911764705882,1,0,0,0,0,0,1,0,0,0,0,1,0
279,305,0,3,0,0,8.05,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
280,307,1,1,0,0,110.8833,29.69911764705882,1,0,0,0,1,0,0,0,0,0,1,0,0
281,308,1,1,1,0,108.9,17.0,1,0,0,0,1,0,0,0,0,0,1,0,0
282,309,0,2,1,0,24.0,30.0,0,1,0,0,1,0,0,0,0,0,1,0,0
283,310,1,1,0,0,56.9292,30.0,1,0,0,0,0,0,1,0,0,0,1,0,0
284,311,1,1,0,0,83.1583,24.0,1,0,0,0,1,0,0,0,0,0,1,0,0
285,312,1,1,2,2,262.375,18.0,1,0,0,1,0,0,0,0,0,0,1,0,0
286,313,0,2,1,1,26.0,26.0,1,0,0,0,1,0,0,0,0,0,0,0,1
287,314,0,3,0,0,7.8958,28.0,0,1,0,0,1,0,0,0,0,0,0,0,1
288,315,0,2,1,1,26.25,43.0,0,1,0,0,1,0,0,0,0,0,0,0,1
289,316,1,3,0,0,7.8542,26.0,1,0,0,0,1,0,0,0,0,0,0,0,1
290,317,1,2,1,0,26.0,24.0,1,0,0,0,1,0,0,0,0,0,0,0,1
