,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Age,Deck,Embarked
124,125,0,1,male,0,1,77.2875,54.0,D,S
125,126,1,3,male,1,0,11.2417,12.0,C,C
126,127,0,3,male,0,0,7.75,29.69911764705882,C,Q
127,128,1,3,male,0,0,7.1417,24.0,C,S
128,129,1,3,female,1,1,22.3583,29.69911764705882,F,C
129,130,0,3,male,0,0,6.975,45.0,C,S
130,131,0,3,male,0,0,7.8958,33.0,C,C
131,132,0,3,male,0,0,7.05,20.0,C,S
132,133,0,3,female,1,0,14.5,47.0,C,S
133,134,1,2,female,1,0,26.0,29.0,C,S
134,135,0,2,male,0,0,13.0,25.0,C,S
135,136,0,2,male,0,0,15.0458,23.0,C,C
136,137,1,1,female,0,2,26.2833,19.0,D,S
137,138,0,1,male,1,0,53.1,37.0,C,S
138,139,0,3,male,0,0,9.2167,16.0,C,S
139,140,0,1,male,0,0,79.2,24.0,B,C
140,141,0,3,female,0,2,15.2458,29.69911764705882,C,C
141,142,1,3,female,0,0,7.75,22.0,C,S
142,143,1,3,female,1,0,15.85,24.0,C,S
143,144,0,3,male,0,0,6.75,19.0,C,Q
144,145,0,2,male,0,0,11.5,18.0,C,S
145,146,0,2,male,1,1,36.75,19.0,C,S
146,147,1,3,male,0,0,7.7958,27.0,C,S
147,148,0,3,female,2,2,34.375,9.0,C,S
148,149,0,2,male,0,2,26.0,36.5,F,S
149,150,0,2,male,0,0,13.0,42.0,C,S
150,151,0,2,male,0,0,12.525,51.0,C,S
151,152,1,1,female,1,0,66.6,22.0,C,S
153,154,0,3,male,0,2,14.5,40.5,C,S
154,155,0,3,male,0,0,7.3125,29.69911764705882,C,S
155,156,0,1,male,0,1,61.3792,51.0,C,C
156,157,1,3,female,0,0,7.7333,16.0,C,Q
157,158,0,3,male,0,0,8.05,30.0,C,S
158,159,0,3,male,0,0,8.6625,29.69911764705882,C,S
159,160,0,3,male,8,2,69.55,29.69911764705882,C,S
160,161,0,3,male,0,1,16.1,44.0,C,S
161,162,1,2,female,0,0,15.75,40.0,C,S
162,163,0,3,male,0,0,7.775,26.0,C,S
163,164,0,3,male,0,0,8.6625,17.0,C,S
165,166,1,3,male,0,2,20.525,9.0,C,S
166,167,1,1,female,0,1,55.0,29.69911764705882,E,S
167,168,0,3,female,1,4,27.9,45.0,C,S
168,169,0,1,male,0,0,25.925,29.69911764705882,C,S
169,170,0,3,male,0,0,56.4958,28.0,C,S
171,172,0,3,male,4,1,29.125,4.0,C,Q
173,174,0,3,male,0,0,7.925,21.0,C,S
175,176,0,3,male,1,1,7.8542,18.0,C,S
176,177,0,3,male,3,1,25.4667,29.69911764705882,C,S
177,178,0,1,female,0,0,28.7125,50.0,C,C
178,179,0,2,male,0,0,13.0,30.0,C,S
179,180,0,3,male,0,0,0.0,36.0,C,S
180,181,0,3,female,8,2,69.55,29.69911764705882,C,S
181,182,0,2,male,0,0,15.05,29.69911764705882,C,C
182,183,0,3,male,4,2,31.3875,9.0,C,S
184,185,1,3,female,0,2,22.025,4.0,C,S
185,186,0,1,male,0,0,50.0,29.69911764705882,A,S
186,187,1,3,female,1,0,15.5,29.69911764705882,C,Q
187,188,1,1,male,0,0,26.55,45.0,C,S
188,189,0,3,male,1,1,15.5,40.0,C,Q
189,190,0,3,male,0,0,7.8958,36.0,C,S
190,191,1,2,female,0,0,13.0,32.0,C,S
191,192,0,2,male,0,0,13.0,19.0,C,S
192,193,1,3,female,1,0,7.8542,19.0,C,S
193,194,1,2,male,1,1,26.0,3.0,F,S
194,195,1,1,female,0,0,27.7208,44.0,B,C
196,197,0,3,male,0,0,7.75,29.69911764705882,C,Q
197,198,0,3,male,0,1,8.4042,42.0,C,S
198,199,1,3,female,0,0,7.75,29.69911764705882,C,Q
199,200,0,2,female,0,0,13.0,24.0,C,S
200,201,0,3,male,0,0,9.5,28.0,C,S
201,202,0,3,male,8,2,69.55,29.69911764705882,C,S
202,203,0,3,male,0,0,6.4958,34.0,C,S
203,204,0,3,male,0,0,7.225,45.5,C,C
204,205,1,3,male,0,0,8.05,18.0,C,S
206,207,0,3,male,1,0,15.85,32.0,C,S
207,208,1,3,male,0,0,18.7875,26.0,C,C
208,209,1,3,female,0,0,7.75,16.0,C,Q
209,210,1,1,male,0,0,31.0,40.0,A,C
210,211,0,3,male,0,0,7.05,24.0,C,S
211,212,1,2,female,0,0,21.0,35.0,C,S
212,213,0,3,male,0,0,7.25,22.0,C,S
213,214,0,2,male,0,0,13.0,30.0,C,S
214,215,0,3,male,1,0,7.75,29.69911764705882,C,Q
215,216,1,1,female,1,0,113.275,31.0,D,C
216,217,1,3,female,0,0,7.925,27.0,C,S
217,218,0,2,male,1,0,27.0,42.0,C,S
218,219,1,1,female,0,0,76.2917,32.0,D,C
219,220,0,2,male,0,0,10.5,30.0,C,S
220,221,1,3,male,0,0,8.05,16.0,C,S
221,222,0,2,male,0,0,13.0,27.0,C,S
222,223,0,3,male,0,0,8.05,51.0,C,S
223,224,0,3,male,0,0,7.8958,29.69911764705882,C,S
224,225,1,1,male,1,0,90.0,38.0,C,S
225,226,0,3,male,0,0,9.35,22.0,C,S
226,227,1,2,male,0,0,10.5,19.0,C,S
227,228,0,3,male,0,0,7.25,20.5,C,S
228,229,0,2,male,0,0,13.0,18.0,C,S
229,230,0,3,female,3,1,25.4667,29.69911764705882,C,S
230,231,1,1,female,1,0,83.475,35.0,C,S
231,232,0,3,male,0,0,7.775,29.0,C,S
233,234,1,3,female,4,2,31.3875,5.0,C,S
234,235,0,2,male,0,0,10.5,24.0,C,S
235,236,0,3,female,0,0,7.55,29.69911764705882,C,S
236,237,0,2,male,1,0,26.0,44.0,C,S
237,238,1,2,female,0,2,26.25,8.0,C,S
238,239,0,2,male,0,0,10.5,19.0,C,S
239,240,0,2,male,0,0,12.275,33.0,C,S
240,241,0,3,female,1,0,14.4542,29.69911764705882,C,C
241,242,1,3,female,1,0,15.5,29.69911764705882,C,Q
242,243,0,2,male,0,0,10.5,29.0,C,S
243,244,0,3,male,0,0,7.125,22.0,C,S
244,245,0,3,male,0,0,7.225,30.0,C,C
245,246,0,1,male,2,0,90.0,44.0,C,Q
246,247,0,3,female,0,0,7.775,25.0,C,S
247,248,1,2,female,0,2,14.5,24.0,C,S
248,249,1,1,male,1,1,52.5542,37.0,D,S
249,250,0,2,male,1,0,26.0,54.0,C,S
250,251,0,3,male,0,0,7.25,29.69911764705882,C,S
251,252,0,3,female,1,1,10.4625,29.0,G,S
253,254,0,3,male,1,0,16.1,30.0,C,S
254,255,0,3,female,0,2,20.2125,41.0,C,S
255,256,1,3,female,0,2,15.2458,29.0,C,C
256,257,1,1,female,0,0,79.2,29.69911764705882,C,C
257,258,1,1,female,0,0,86.5,30.0,B,S
258,259,1,1,female,0,0,512.3292,35.0,C,C
259,260,1,2,female,0,1,26.0,50.0,C,S
260,261,0,3,male,0,0,7.75,29.69911764705882,C,Q
261,262,1,3,male,4,2,31.3875,3.0,C,S
262,263,0,1,male,1,1,79.65,52.0,E,S
263,264,0,1,male,0,0,0.0,40.0,B,S
264,265,0,3,female,0,0,7.75,29.69911764705882,C,Q
265,266,0,2,male,0,0,10.5,36.0,C,S
266,267,0,3,male,4,1,39.6875,16.0,C,S
267,268,1,3,male,1,0,7.775,25.0,C,S
269,270,1,1,female,0,0,135.6333,35.0,C,S
270,271,0,1,male,0,0,31.0,29.69911764705882,C,S
271,272,1,3,male,0,0,0.0,25.0,C,S
272,273,1,2,female,0,1,19.5,41.0,C,S
273,274,0,1,male,0,1,29.7,37.0,C,C
274,275,1,3,female,0,0,7.75,29.69911764705882,C,Q
276,277,0,3,female,0,0,7.75,45.0,C,S
277,278,0,2,male,0,0,0.0,29.69911764705882,C,S
278,279,0,3,male,4,1,29.125,7.0,C,Q
279,280,1,3,female,1,1,20.25,35.0,C,S
281,282,0,3,male,0,0,7.8542,28.0,C,S
282,283,0,3,male,0,0,9.5,16.0,C,S
283,284,1,3,male,0,0,8.05,19.0,C,S
284,285,0,1,male,0,0,26.0,29.69911764705882,A,S
285,286,0,3,male,0,0,8.6625,33.0,C,C
286,287,1,3,male,0,0,9.5,30.0,C,S
287,288,0,3,male,0,0,7.8958,22.0,C,S
288,289,1,2,male,0,0,13.0,42.0,C,S
289,290,1,3,female,0,0,7.75,22.0,C,Q
290,291,1,1,female,0,0,78.85,26.0,C,S
291,292,1,1,female,1,0,91.0792,19.0,B,C
292,293,0,2,male,0,0,12.875,36.0,D,C
293,294,0,3,female,0,0,8.85,24.0,C,S
294,295,0,3,male,0,0,7.8958,24.0,C,S
295,296,0,1,male,0,0,27.7208,29.69911764705882,C,C
296,297,0,3,male,0,0,7.2292,23.5,C,C
298,299,1,1,male,0,0,30.5,29.69911764705882,C,S
299,300,1,1,female,0,1,247.5208,50.0,B,C
300,301,1,3,female,0,0,7.75,29.69911764705882,C,Q
301,302,1,3,male,2,0,23.25,29.69911764705882,C,Q
302,303,0,3,male,0,0,0.0,19.0,C,S
303,304,1,2,female,0,0,12.35,29.69911764705882,E,Q
304,305,0,3,male,0,0,8.05,29.69911764705882,C,S
306,307,1,1,female,0,0,110.8833,29.69911764705882,C,C
307,308,1,1,female,1,0,108.9,17.0,C,C
308,309,0,2,male,1,0,24.0,30.0,C,C
309,310,1,1,female,0,0,56.9292,30.0,E,C
310,311,1,1,female,0,0,83.1583,24.0,C,C
311,312,1,1,female,2,2,262.375,18.0,B,C
312,313,0,2,female,1,1,26.0,26.0,C,S
313,314,0,3,male,0,0,7.8958,28.0,C,S
314,315,0,2,male,1,1,26.25,43.0,C,S
315,316,1,3,female,0,0,7.8542,26.0,C,S
316,317,1,2,female,1,0,26.0,24.0,C,S
317,318,0,2,male,0,0,14.0,54.0,C,S
318,319,1,1,female,0,2,164.8667,31.0,C,S
319,320,1,1,female,1,1,134.5,40.0,E,C
320,321,0,3,male,0,0,7.25,22.0,C,S
321,322,0,3,male,0,0,7.8958,27.0,C,S
322,323,1,2,female,0,0,12.35,30.0,C,Q
323,324,1,2,female,1,1,29.0,22.0,C,S
324,325,0,3,male,8,2,69.55,29.69911764705882,C,S
325,326,1,1,female,0,0,135.6333,36.0,C,C
327,328,1,2,female,0,0,13.0,36.0,D,S
328,329,1,3,female,1,1,20.525,31.0,C,S
329,330,1,1,female,0,1,57.9792,16.0,B,C
330,331,1,3,female,2,0,23.25,29.69911764705882,C,Q
331,332,0,1,male,0,0,28.5,45.5,C,S
332,333,0,1,male,0,1,153.4625,38.0,C,S
333,334,0,3,male,2,0,18.0,16.0,C,S
334,335,1,1,female,1,0,133.65,29.69911764705882,C,S
335,336,0,3,male,0,0,7.8958,29.69911764705882,C,S
336,337,0,1,male,1,0,66.6,29.0,C,S
337,338,1,1,female,0,0,134.5,41.0,E,C
338,339,1,3,male,0,0,8.05,45.0,C,S
339,340,0,1,male,0,0,35.5,45.0,T,S
341,342,1,1,female,3,2,263.0,24.0,C,S
342,343,0,2,male,0,0,13.0,28.0,C,S
343,344,0,2,male,0,0,13.0,25.0,C,S
344,345,0,2,male,0,0,13.0,36.0,C,S
345,346,1,2,female,0,0,13.0,24.0,F,S
346,347,1,2,female,0,0,13.0,40.0,C,S
347,348,1,3,female,1,0,16.1,29.69911764705882,C,S
348,349,1,3,male,1,1,15.9,3.0,C,S
349,350,0,3,male,0,0,8.6625,42.0,C,S
350,351,0,3,male,0,0,9.225,23.0,C,S
351,352,0,1,male,0,0,35.0,29.69911764705882,C,S
352,353,0,3,male,1,1,7.2292,15.0,C,C
353,354,0,3,male,1,0,17.8,25.0,C,S
354,355,0,3,male,0,0,7.225,29.69911764705882,C,C
355,356,0,3,male,0,0,9.5,28.0,C,S
356,357,1,1,female,0,1,55.0,22.0,E,S
357,358,0,2,female,0,0,13.0,38.0,C,S
358,359,1,3,female,0,0,7.8792,29.69911764705882,C,Q
359,360,1,3,female,0,0,7.8792,29.69911764705882,C,Q
360,361,0,3,male,1,4,27.9,40.0,C,S
361,362,0,2,male,1,0,27.7208,29.0,C,C
362,363,0,3,female,0,1,14.4542,45.0,C,C
363,364,0,3,male,0,0,7.05,35.0,C,S
364,365,0,3,male,1,0,15.5,29.69911764705882,C,Q
365,366,0,3,male,0,0,7.25,30.0,C,S
367,368,1,3,female,0,0,7.2292,29.69911764705882,C,C
368,369,1,3,female,0,0,7.75,29.69911764705882,C,Q
369,370,1,1,female,0,0,69.3,24.0,B,C
370,371,1,1,male,1,0,55.4417,25.0,E,C
371,372,0,3,male,1,0,6.4958,18.0,C,S
372,373,0,3,male,0,0,8.05,19.0,C,S
373,374,0,1,male,0,0,135.6333,22.0,C,C
374,375,0,3,female,3,1,21.075,3.0,C,S
375,376,1,1,female,1,0,82.1708,29.69911764705882,C,C
376,377,1,3,female,0,0,7.25,22.0,C,S
377,378,0,1,male,0,2,211.5,27.0,C,C
378,379,0,3,male,0,0,4.0125,20.0,C,C
379,380,0,3,male,0,0,7.775,19.0,C,S
380,381,1,1,female,0,0,227.525,42.0,C,C
382,383,0,3,male,0,0,7.925,32.0,C,S
383,384,1,1,female,1,0,52.0,35.0,C,S
384,385,0,3,male,0,0,7.8958,29.69911764705882,C,S
385,386,0,2,male,0,0,73.5,18.0,C,S
387,388,1,2,female,0,0,13.0,36.0,C,S
388,389,0,3,male,0,0,7.7292,29.69911764705882,C,Q
389,390,1,2,female,0,0,12.0,17.0,C,C
390,391,1,1,male,1,2,120.0,36.0,B,S
391,392,1,3,male,0,0,7.7958,21.0,C,S
392,393,0,3,male,2,0,7.925,28.0,C,S
393,394,1,1,female,1,0,113.275,23.0,D,C
394,395,1,3,female,0,2,16.7,24.0,G,S
395,396,0,3,male,0,0,7.7958,22.0,C,S
396,397,0,3,female,0,0,7.8542,31.0,C,S
397,398,0,2,male,0,0,26.0,46.0,C,S
398,399,0,2,male,0,0,10.5,23.0,C,S
399,400,1,2,female,0,0,12.65,28.0,C,S
400,401,1,3,male,0,0,7.925,39.0,C,S
401,402,0,3,male,0,0,8.05,26.0,C,S
402,403,0,3,female,1,0,9.825,21.0,C,S
403,404,0,3,male,1,0,15.85,28.0,C,S
404,405,0,3,female,0,0,8.6625,20.0,C,S
405,406,0,2,male,1,0,21.0,34.0,C,S
406,407,0,3,male,0,0,7.75,51.0,C,S
407,408,1,2,male,1,1,18.75,3.0,C,S
408,409,0,3,male,0,0,7.775,21.0,C,S
409,410,0,3,female,3,1,25.4667,29.69911764705882,C,S
410,411,0,3,male,0,0,7.8958,29.69911764705882,C,S
411,412,0,3,male,0,0,6.8583,29.69911764705882,C,Q
412,413,1,1,female,1,0,90.0,33.0,C,Q
413,414,0,2,male,0,0,0.0,29.69911764705882,C,S
414,415,1,3,male,0,0,7.925,44.0,C,S
415,416,0,3,female,0,0,8.05,29.69911764705882,C,S
416,417,1,2,female,1,1,32.5,34.0,C,S
417,418,1,2,female,0,2,13.0,18.0,C,S
418,419,0,2,male,0,0,13.0,30.0,C,S
419,420,0,3,female,0,2,24.15,10.0,C,S
420,421,0,3,male,0,0,7.8958,29.69911764705882,C,C
421,422,0,3,male,0,0,7.7333,21.0,C,Q
422,423,0,3,male,0,0,7.875,29.0,C,S
423,424,0,3,female,1,1,14.4,28.0,C,S
424,425,0,3,male,1,1,20.2125,18.0,C,S
425,426,0,3,male,0,0,7.25,29.69911764705882,C,S
426,427,1,2,female,1,0,26.0,28.0,C,S
427,428,1,2,female,0,0,26.0,19.0,C,S
428,429,0,3,male,0,0,7.75,29.69911764705882,C,Q
429,430,1,3,male,0,0,8.05,32.0,E,S
430,431,1,1,male,0,0,26.55,28.0,C,S
431,432,1,3,female,1,0,16.1,29.69911764705882,C,S
432,433,1,2,female,1,0,26.0,42.0,C,S
433,434,0,3,male,0,0,7.125,17.0,C,S
434,435,0,1,male,1,0,55.9,50.0,E,S
435,436,1,1,female,1,2,120.0,14.0,B,S
436,437,0,3,female,2,2,34.375,21.0,C,S
437,438,1,2,female,2,3,18.75,24.0,C,S
439,440,0,2,male,0,0,10.5,31.0,C,S
440,441,1,2,female,1,1,26.25,45.0,C,S
441,442,0,3,male,0,0,9.5,20.0,C,S
442,443,0,3,male,1,0,7.775,25.0,C,S
443,444,1,2,female,0,0,13.0,28.0,C,S
444,445,1,3,male,0,0,8.1125,29.69911764705882,C,S
445,446,1,1,male,0,2,81.8583,4.0,A,S
446,447,1,2,female,0,1,19.5,13.0,C,S
447,448,1,1,male,0,0,26.55,34.0,C,S
448,449,1,3,female,2,1,19.2583,5.0,C,C
449,450,1,1,male,0,0,30.5,52.0,C,S
450,451,0,2,male,1,2,27.75,36.0,C,S
451,452,0,3,male,1,0,19.9667,29.69911764705882,C,S
452,453,0,1,male,0,0,27.75,30.0,C,C
453,454,1,1,male,1,0,89.1042,49.0,C,C
454,455,0,3,male,0,0,8.05,29.69911764705882,C,S
455,456,1,3,male,0,0,7.8958,29.0,C,C
457,458,1,1,female,1,0,51.8625,29.69911764705882,D,S
458,459,1,2,female,0,0,10.5,50.0,C,S
459,460,0,3,male,0,0,7.75,29.69911764705882,C,Q
460,461,1,1,male,0,0,26.55,48.0,E,S
461,462,0,3,male,0,0,8.05,34.0,C,S
462,463,0,1,male,0,0,38.5,47.0,E,S
463,464,0,2,male,0,0,13.0,48.0,C,S
464,465,0,3,male,0,0,8.05,29.69911764705882,C,S
465,466,0,3,male,0,0,7.05,38.0,C,S
466,467,0,2,male,0,0,0.0,29.69911764705882,C,S
468,469,0,3,male,0,0,7.725,29.69911764705882,C,Q
470,471,0,3,male,0,0,7.25,29.69911764705882,C,S
471,472,0,3,male,0,0,8.6625,38.0,C,S
472,473,1,2,female,1,2,27.75,33.0,C,S
473,474,1,2,female,0,0,13.7917,23.0,D,C
474,475,0,3,female,0,0,9.8375,22.0,C,S
475,476,0,1,male,0,0,52.0,29.69911764705882,A,S
476,477,0,2,male,1,0,21.0,34.0,C,S
477,478,0,3,male,1,0,7.0458,29.0,C,S
478,479,0,3,male,0,0,7.5208,22.0,C,S
480,481,0,3,male,5,2,46.9,9.0,C,S
481,482,0,2,male,0,0,0.0,29.69911764705882,C,S
482,483,0,3,male,0,0,8.05,50.0,C,S
484,485,1,1,male,1,0,91.0792,25.0,B,C
485,486,0,3,female,3,1,25.4667,29.69911764705882,C,S
486,487,1,1,female,1,0,90.0,35.0,C,S
488,489,0,3,male,0,0,8.05,30.0,C,S
489,490,1,3,male,1,1,15.9,9.0,C,S
490,491,0,3,male,1,0,19.9667,29.69911764705882,C,S
491,492,0,3,male,0,0,7.25,21.0,C,S
494,495,0,3,male,0,0,8.05,21.0,C,S
495,496,0,3,male,0,0,14.4583,29.69911764705882,C,C
496,497,1,1,female,1,0,78.2667,54.0,D,C
497,498,0,3,male,0,0,15.1,29.69911764705882,C,S
498,499,0,1,female,1,2,151.55,25.0,C,S
499,500,0,3,male,0,0,7.7958,24.0,C,S
500,501,0,3,male,0,0,8.6625,17.0,C,S
501,502,0,3,female,0,0,7.75,21.0,C,Q
502,503,0,3,female,0,0,7.6292,29.69911764705882,C,Q
503,504,0,3,female,0,0,9.5875,37.0,C,S
504,505,1,1,female,0,0,86.5,16.0,B,S
505,506,0,1,male,1,0,108.9,18.0,C,C
506,507,1,2,female,0,2,26.0,33.0,C,S
507,508,1,1,male,0,0,26.55,29.69911764705882,C,S
508,509,0,3,male,0,0,22.525,28.0,C,S
509,510,1,3,male,0,0,56.4958,26.0,C,S
510,511,1,3,male,0,0,7.75,29.0,C,Q
511,512,0,3,male,0,0,8.05,29.69911764705882,C,S
512,513,1,1,male,0,0,26.2875,36.0,E,S
513,514,1,1,female,1,0,59.4,54.0,C,C
514,515,0,3,male,0,0,7.4958,24.0,C,S
515,516,0,1,male,0,0,34.0208,47.0,D,S
516,517,1,2,female,0,0,10.5,34.0,F,S
517,518,0,3,male,0,0,24.15,29.69911764705882,C,Q
518,519,1,2,female,1,0,26.0,36.0,C,S
519,520,0,3,male,0,0,7.8958,32.0,C,S
520,521,1,1,female,0,0,93.5,30.0,B,S
521,522,0,3,male,0,0,7.8958,22.0,C,S
522,523,0,3,male,0,0,7.225,29.69911764705882,C,C
523,524,1,1,female,0,1,57.9792,44.0,B,C
524,525,0,3,male,0,0,7.2292,29.69911764705882,C,C
525,526,0,3,male,0,0,7.75,40.5,C,Q
526,527,1,2,female,0,0,10.5,50.0,C,S
527,528,0,1,male,0,0,221.7792,29.69911764705882,C,S
528,529,0,3,male,0,0,7.925,39.0,C,S
529,530,0,2,male,2,1,11.5,23.0,C,S
531,532,0,3,male,0,0,7.2292,29.69911764705882,C,C
532,533,0,3,male,1,1,7.2292,17.0,C,C
533,534,1,3,female,0,2,22.3583,29.69911764705882,C,C
534,535,0,3,female,0,0,8.6625,30.0,C,S
535,536,1,2,female,0,2,26.25,7.0,C,S
536,537,0,1,male,0,0,26.55,45.0,B,S
537,538,1,1,female,0,0,106.425,30.0,C,C
538,539,0,3,male,0,0,14.5,29.69911764705882,C,S
539,540,1,1,female,0,2,49.5,22.0,B,C
540,541,1,1,female,0,2,71.0,36.0,B,S
541,542,0,3,female,4,2,31.275,9.0,C,S
542,543,0,3,female,4,2,31.275,11.0,C,S
543,544,1,2,male,1,0,26.0,32.0,C,S
544,545,0,1,male,1,0,106.425,50.0,C,C
546,547,1,2,female,1,0,26.0,19.0,C,S
547,548,1,2,male,0,0,13.8625,29.69911764705882,C,C
548,549,0,3,male,1,1,20.525,33.0,C,S
549,550,1,2,male,1,1,36.75,8.0,C,S
550,551,1,1,male,0,2,110.8833,17.0,C,C
